"";"contributeurs";"isanon";"status_contrib";"total_rev_count";"registration_year"
"1337";"Zyxw";"0";"inscrit";"215658";"2005"
"1340";"Poccil";"0";"inscrit";"21606";"2004"
"1341";"Think_outside_the_box";"0";"inscrit";"4453";"2006"
"1343";"Drutt";"0";"inscrit";"7650";"2007"
"1344";"69.130.193.49";"1";"anonyme";"24";"2009"
"1345";"ABC1356msep1";"0";"inscrit";"2378";"2010"
"1346";"Logical_Fuzz";"0";"inscrit";"19977";"2009"
"1348";"QuasyBoy";"0";"inscrit";"106324";"2006"
"1353";"Hydrargyrum";"0";"inscrit";"36695";"2005"
"1354";"24.47.32.192";"1";"anonyme";"424";"2013"
"1355";"Categlory";"0";"inscrit";"601";"2014"
"1356";"Zombie433";"0";"inscrit";"87593";"2007"
"1359";"98.218.113.186";"1";"anonyme";"5";"2009"
"1361";"Tim1357";"0";"inscrit";"69622";"2009"
"1367";"41.211.0.127";"1";"anonyme";"38";"2009"
"1370";"41.218.217.118";"1";"anonyme";"1";"2009"
"1375";"Embele";"0";"inscrit";"7157";"2006"
"1378";"41.218.214.196";"1";"anonyme";"3";"2009"
"1380";"41.218.229.98";"1";"anonyme";"1";"2010"
"1389";"Wrwr1";"0";"inscrit";"818";"2010"
"1394";"79.213.90.114";"1";"anonyme";"84";"2010"
"1399";"Petan-Bot";"0";"bot";"40696";"2011"
"1403";"SporkBot";"0";"bot";"874506";"2010"
"1406";"Jaysuc";"0";"inscrit";"32644";"2011"
"1413";"BrownHairedGirl";"0";"admin";"721544";"2006"
"1415";"GiantSnowman";"0";"admin";"250064";"2006"
"1419";"GreenC_bot";"0";"bot";"532603";"2016"
"1424";"Nathan_wang";"0";"inscrit";"9";"2008"
"1425";"Stepshep";"0";"inscrit";"25234";"2007"
"1430";"Gail";"0";"inscrit";"18235";"2008"
"1435";"The_Anomebot2";"0";"bot";"950735";"2006"
"1437";"Crusoe8181";"0";"inscrit";"84633";"2009"
"1439";"Mattinbgn";"0";"admin";"53119";"2006"
"1442";"Bidgee";"0";"inscrit";"50193";"2005"
"1443";"Kirananils";"0";"inscrit";"6315";"2011"
"1446";"AussieLegend2";"0";"inscrit";"35431";"2008"
"1451";"Gronk_Oz";"0";"inscrit";"17486";"2014"
"1454";"Melburnian";"0";"admin";"32602";"2005"
"1455";"Ricardo_Carneiro_Pires";"0";"inscrit";"19724";"2005"
"1457";"EncycloPetey";"0";"admin";"31100";"2005"
"1460";"217.232.96.202";"1";"anonyme";"8";"2008"
"1461";"Hesperian";"0";"admin";"135052";"2004"
"1465";"Jaguarlaser";"0";"inscrit";"11082";"2007"
"1466";"AssegaiAli";"0";"inscrit";"1464";"2007"
"1469";"LilHelpa";"0";"inscrit";"346273";"2008"
"1471";"59.154.164.18";"1";"anonyme";"14";"2008"
"1475";"Tide_rolls";"0";"admin";"212880";"2008"
"1479";"Flakinho";"0";"inscrit";"27466";"2008"
"1483";"Rcsprinter123";"0";"inscrit";"67134";"2010"
"1484";"Aliwal2012";"0";"inscrit";"11675";"2012"
"1494";"SP-KP";"0";"inscrit";"31538";"2005"
"1495";"Grutness";"0";"admin";"223471";"2004"
"1500";"Andy_F";"0";"inscrit";"3867";"2004"
"1503";"67.170.26.43";"1";"anonyme";"1396";"2008"
"1504";"Erik9bot";"0";"inscrit";"439480";"2009"
"1507";"Zorrobot";"0";"inscrit";"142590";"2008"
"1508";"Choess";"0";"admin";"63877";"2005"
"1510";"Bodrugan";"0";"inscrit";"2061";"2009"
"1513";"Arb";"0";"inscrit";"15965";"2006"
"1514";"Johnsoniensis";"0";"inscrit";"131237";"2014"
"1521";"Stuartyeates";"0";"inscrit";"53706";"2004"
"1525";"Ghouston";"0";"inscrit";"1044";"2003"
"1528";"Carlossuarez46";"0";"admin";"473975";"2003"
"1533";"JustAGal";"0";"inscrit";"172786";"2006"
"1534";"Gasheadsteve";"0";"inscrit";"9085";"2006"
"1535";"68.98.139.9";"1";"anonyme";"371";"2007"
"1536";"PTSE";"0";"inscrit";"8157";"2005"
"1540";"Mukkakukaku";"0";"inscrit";"18669";"2005"
"1541";"64.105.126.218";"1";"anonyme";"9";"2008"
"1543";"Alansohn";"0";"inscrit";"433122";"2005"
"1548";"Raymondwinn";"0";"inscrit";"8611";"2007"
"1549";"Aavindraa";"0";"inscrit";"1218";"2010"
"1552";"TRBP";"0";"inscrit";"12333";"2009"
"1554";"Raymie";"0";"inscrit";"23491";"2005"
"1555";"Simple_Bob";"0";"inscrit";"15029";"2009"
"1560";"Mordemur";"0";"inscrit";"681";"2004"
"1561";"Vanished_user_5zariu3jisj0j4irj";"0";"inscrit";"36325";"2003"
"1563";"Somebody_in_the_WWW";"0";"inscrit";"2635";"2004"
"1565";"Tirin";"0";"inscrit";"4243";"2004"
"1569";"JdforresterBot";"0";"inscrit";"13077";"2005"
"1571";"Pfctdayelise";"0";"inscrit";"3998";"2005"
"1572";"Pengo";"0";"admin";"19112";"2003"
"1573";"Sheeppyramids";"0";"inscrit";"2";"2006"
"1577";"Redeagle688";"0";"inscrit";"6427";"2006"
"1578";"Longhair";"0";"admin";"139816";"2004"
"1581";"Stickyweb";"0";"inscrit";"21";"2006"
"1582";"Steven_Walling";"0";"admin";"45596";"2006"
"1585";"121.44.219.5";"1";"anonyme";"3";"2009"
"1589";"118.208.142.42";"1";"anonyme";"2";"2009"
"1591";"220.253.21.10";"1";"anonyme";"11";"2006"
"1593";"JamesAM";"0";"inscrit";"49799";"2006"
"1596";"Cuddy_Wifter";"0";"inscrit";"25985";"2006"
"1599";"118.209.131.203";"1";"anonyme";"1";"2010"
"1602";"Billingd";"0";"inscrit";"5603";"2010"
"1604";"118.209.11.59";"1";"anonyme";"1";"2011"
"1605";"118.209.93.173";"1";"anonyme";"1";"2011"
"1606";"118.209.23.193";"1";"anonyme";"1";"2011"
"1607";"118.209.234.101";"1";"anonyme";"7";"2011"
"1612";"Jllm06";"0";"inscrit";"449661";"2006"
"1614";"118.209.50.221";"1";"anonyme";"7";"2010"
"1619";"122.107.199.212";"1";"anonyme";"3";"2013"
"1620";"ClueBot_NG";"0";"bot";"4572193";"2010"
"1621";"Horseygal_mega";"0";"inscrit";"1";"2014"
"1622";"124.170.10.196";"1";"anonyme";"1";"2014"
"1625";"113.37.135.116";"1";"anonyme";"7";"2015"
"1630";"Triptothecottage";"0";"inscrit";"3068";"2016"
"1632";"MilborneOne";"0";"admin";"107889";"2006"
"1633";"GimmeBot";"0";"bot";"75273";"2007"
"1640";"The_Bushranger";"0";"admin";"135769";"2008"
"1647";"Chesipiero";"0";"inscrit";"29330";"2010"
"1648";"BD2412";"0";"admin";"1084835";"2005"
"1651";"Mr.Television";"0";"inscrit";"3226";"2006"
"1652";"Markhurd";"0";"inscrit";"11540";"2003"
"1654";"124.176.242.165";"1";"anonyme";"1";"2010"
"1660";"220.101.137.173";"1";"anonyme";"1";"2010"
"1662";"60.230.183.87";"1";"anonyme";"4";"2010"
"1666";"109.154.228.164";"1";"anonyme";"1";"2010"
"1668";"Jdenm8";"0";"inscrit";"56";"2007"
"1670";"Shoof95";"0";"inscrit";"2320";"2010"
"1671";"79.85.211.186";"1";"anonyme";"1";"2010"
"1676";"203.208.67.34";"1";"anonyme";"44";"2009"
"1679";"121.212.238.116";"1";"anonyme";"16";"2009"
"1682";"Cody99090";"0";"inscrit";"5";"2010"
"1686";"NE_Ent";"0";"inscrit";"20192";"2006"
"1690";"Not_Just_Magic:_The_Movie";"0";"inscrit";"5";"2010"
"1694";"Aatulloch";"0";"inscrit";"7";"2006"
"1697";"Peachey88";"0";"inscrit";"5044";"2006"
"1699";"Jake_Seinfeild_Official";"0";"inscrit";"4";"2010"
"1710";"77.99.188.253";"1";"anonyme";"93";"2010"
"1715";"114.77.225.246";"1";"anonyme";"6";"2010"
"1718";"Mojo_Hand";"0";"admin";"68879";"2006"
"1721";"121.45.8.49";"1";"anonyme";"21";"2010"
"1731";"118.210.101.244";"1";"anonyme";"16";"2010"
"1734";"118.210.93.34";"1";"anonyme";"28";"2010"
"1736";"121.210.1.150";"1";"anonyme";"2";"2010"
"1738";"118.210.69.142";"1";"anonyme";"86";"2010"
"1740";"H3llBot";"0";"bot";"134512";"2010"
"1741";"220.253.247.167";"1";"anonyme";"1";"2010"
"1742";"VictorianMutant";"0";"inscrit";"4778";"2010"
"1743";"Leahmaree1992";"0";"inscrit";"4";"2010"
"1746";"120.146.131.26";"1";"anonyme";"4";"2010"
"1752";"Roxxannee";"0";"inscrit";"42";"2010"
"1753";"120.19.3.101";"1";"anonyme";"1";"2010"
"1755";"122.107.175.135";"1";"anonyme";"2348";"2010"
"1759";"118.210.139.79";"1";"anonyme";"39";"2010"
"1760";"121.216.60.109";"1";"anonyme";"6";"2010"
"1764";"Connor5612";"0";"inscrit";"423";"2008"
"1770";"202.59.23.86";"1";"anonyme";"27";"2009"
"1771";"114.78.104.31";"1";"anonyme";"3";"2010"
"1775";"123.243.78.194";"1";"anonyme";"123";"2007"
"1777";"124.171.176.245";"1";"anonyme";"7";"2007"
"1779";"211.30.134.11";"1";"anonyme";"1";"2010"
"1780";"Boing!_said_Zebedee";"0";"admin";"76320";"2007"
"1786";"132.199.231.183";"1";"anonyme";"2";"2010"
"1789";"90.208.194.135";"1";"anonyme";"8";"2010"
"1790";"139.168.78.4";"1";"anonyme";"4";"2010"
"1795";"Brookie";"0";"admin";"38579";"2005"
"1814";"118.210.182.249";"1";"anonyme";"43";"2010"
"1821";"189.202.29.165";"1";"anonyme";"359";"2010"
"1826";"61.69.196.177";"1";"anonyme";"2";"2010"
"1834";"58.166.94.160";"1";"anonyme";"10";"2010"
"1872";"94.1.250.201";"1";"anonyme";"1";"2011"
"1874";"Ianblair23";"0";"admin";"86099";"2004"
"1889";"121.45.85.150";"1";"anonyme";"17";"2009"
"1906";"124.184.229.144";"1";"anonyme";"2";"2011"
"1908";"JHunterJ";"0";"admin";"69215";"2006"
"1910";"202.46.136.16";"1";"anonyme";"17";"2009"
"1911";"165.69.2.2";"1";"anonyme";"262";"2009"
"1914";"109.108.207.209";"1";"anonyme";"53";"2011"
"1916";"Themeparkgc";"0";"inscrit";"35689";"2009"
"1920";"121.218.179.129";"1";"anonyme";"7";"2008"
"1923";"114.78.101.239";"1";"anonyme";"1";"2011"
"1928";"203.18.241.193";"1";"anonyme";"86";"2006"
"1929";"122.106.86.113";"1";"anonyme";"107";"2010"
"1930";"Allied45";"0";"inscrit";"17187";"2006"
"1931";"Billy_Liakopoulos";"0";"inscrit";"20494";"2011"
"1936";"Klemen_Kocjancic";"0";"inscrit";"133123";"2004"
"1938";"Matthewedwards";"0";"admin";"26769";"2007"
"1939";"John";"0";"admin";"190680";"2006"
"1941";"60.229.13.55";"1";"anonyme";"5";"2012"
