"";"contributeurs";"isanon";"status_contrib";"total_rev_count";"registration_year"
"4111";"Kyriakos";"0";"inscrit";"10358";"2005"
"4112";"Paul_A";"0";"admin";"63796";"2002"
"4115";"G.-M._Cupertino";"0";"inscrit";"29430";"2007"
"4120";"69.140.110.206";"1";"anonyme";"1";"2007"
"4169";"ClueBot";"0";"inscrit";"1596818";"2007"
"4219";"220.106.245.212";"1";"anonyme";"9";"2007"
"4220";"Fordmadoxfraud";"0";"inscrit";"20698";"2006"
"4221";"Moreschi";"0";"admin";"19434";"2006"
"4226";"Merrieman";"0";"inscrit";"30";"2007"
"4227";"Dr_pda";"0";"inscrit";"3172";"2005"
"4230";"91.132.41.129";"1";"anonyme";"799";"2007"
"4232";"Stevemcginn";"0";"inscrit";"83";"2007"
"4233";"72.83.202.34";"1";"anonyme";"7";"2008"
"4234";"24.131.78.56";"1";"anonyme";"10";"2008"
"4240";"Ghirlandajo";"0";"inscrit";"85604";"2004"
"4242";"75.91.90.60";"1";"anonyme";"2";"2008"
"4246";"GrahamHardy";"0";"inscrit";"290117";"2006"
"4248";"207.188.245.3";"1";"anonyme";"124";"2007"
"4249";"83.49.230.113";"1";"anonyme";"4";"2008"
"4250";"Grey_Wanderer";"0";"inscrit";"14937";"2006"
"4254";"Ginosal";"0";"inscrit";"233";"2006"
"4255";"Peer";"0";"inscrit";"37";"2007"
"4257";"62.103.60.114";"1";"anonyme";"23";"2008"
"4259";"Ptbotgourou";"0";"inscrit";"66481";"2008"
"4260";"FeanorStar7";"0";"inscrit";"116453";"2004"
"4262";"Lightmouse";"0";"inscrit";"148333";"2007"
"4265";"Cplakidas";"0";"inscrit";"150774";"2005"
"4269";"Jaraalbe";"0";"inscrit";"105816";"2005"
"4270";"Noyder";"0";"inscrit";"311";"2006"
"4277";"Kbdankbot";"0";"inscrit";"184258";"2008"
"4279";"Vanished_user_ewfisn2348tui2f8n2fio2utjfeoi210r39jf";"0";"inscrit";"45314";"2007"
"4281";"RibotBOT";"0";"inscrit";"69737";"2008"
"4282";"Ricardo_Frantz";"0";"inscrit";"514";"2007"
"4283";"The_Thing_That_Should_Not_Be";"0";"inscrit";"167531";"2007"
"4287";"Cirt";"0";"admin";"199086";"2007"
"4291";"Yannismarou";"0";"admin";"20253";"2006"
"4340";"CmdrObot";"0";"bot";"337914";"2006"
"4350";"Pmanderson";"0";"inscrit";"62494";"2004"
"4367";"Tpbradbury";"0";"inscrit";"69952";"2004"
"4377";"Catalographer";"0";"inscrit";"22508";"2007"
"4378";"SmackBot";"0";"inscrit";"3734324";"2005"
"4384";"Dorieo";"0";"inscrit";"543";"2008"
"4387";"TXiKiBoT";"0";"inscrit";"567654";"2007"
"4388";"Bundeghh";"0";"inscrit";"6";"2009"
"4398";"Mm40";"0";"inscrit";"10255";"2008"
"4404";"Megistias";"0";"inscrit";"13567";"2005"
"4411";"LinkFA-Bot";"0";"inscrit";"12478";"2008"
"4414";"Atlantia";"0";"inscrit";"3338";"2009"
"4417";"TobeBot";"0";"inscrit";"44321";"2009"
"4418";"Lt.Specht";"0";"inscrit";"1058";"2008"
"4426";"FrescoBot";"0";"bot";"732170";"2009"
"4430";"Stemonitis";"0";"admin";"179445";"2004"
"4432";"R'n'B";"0";"admin";"355172";"2006"
"4434";"WikitanvirBot";"0";"inscrit";"144145";"2010"
"4435";"EmausBot";"0";"bot";"1673471";"2009"
"4437";"Anriz";"0";"inscrit";"5326";"2006"
"4439";"81.164.96.116";"1";"anonyme";"1";"2011"
"4452";"Goatasaur";"0";"admin";"2545";"2002"
"4453";"67.123.173.152";"1";"anonyme";"29";"2003"
"4455";"Salsa_Shark";"0";"admin";"2085";"2003"
"4460";"Zztzed";"0";"inscrit";"338";"2003"
"4461";"Sam_Francis";"0";"inscrit";"2175";"2002"
"4464";"81.135.53.32";"1";"anonyme";"2";"2003"
"4465";"Jgm";"0";"inscrit";"4999";"2003"
"4466";"217.231.236.249";"1";"anonyme";"1";"2003"
"4467";"68.147.131.55";"1";"anonyme";"3";"2003"
"4468";"24.71.223.143";"1";"anonyme";"4";"2003"
"4471";"213.157.5.40";"1";"anonyme";"5";"2004"
"4472";"LGagnon";"0";"inscrit";"14868";"2003"
"4473";"CatherineMunro";"0";"admin";"14639";"2003"
"4474";"TUF-KAT";"0";"admin";"48707";"2002"
"4476";"81.11.129.155";"1";"anonyme";"5";"2004"
"4477";"68.165.236.205";"1";"anonyme";"2";"2004"
"4478";"67.85.210.236";"1";"anonyme";"23";"2004"
"4479";"Ponder";"0";"inscrit";"1374";"2004"
"4481";"Acegikmo1";"0";"inscrit";"6391";"2003"
"4483";"Ma'ame_Michu";"0";"inscrit";"1318";"2004"
"4484";"Bohed";"0";"inscrit";"109";"2004"
"4485";"HasharBot~enwiki";"0";"inscrit";"5288";"2004"
"4486";"Mike_Garcia";"0";"inscrit";"15375";"2004"
"4489";"The_KZA";"0";"inscrit";"1858";"2004"
"4490";"Abisai";"0";"inscrit";"409";"2004"
"4492";"67.85.217.130";"1";"anonyme";"15";"2004"
"4496";"66.216.162.41";"1";"anonyme";"5";"2005"
"4502";"Bbx";"0";"inscrit";"3400";"2003"
"4503";"Cbing01";"0";"inscrit";"6434";"2004"
"4505";"216.43.98.222";"1";"anonyme";"2";"2005"
"4506";"Fredrikh";"0";"inscrit";"50";"2005"
"4507";"35.11.242.248";"1";"anonyme";"2";"2005"
"4509";"24.81.41.89";"1";"anonyme";"14";"2005"
"4515";"24.61.16.135";"1";"anonyme";"38";"2005"
"4517";"Rdsmith4";"0";"admin";"23833";"2004"
"4521";"ErikNY";"0";"inscrit";"6850";"2004"
"4523";"Chill_Pill_Bill";"0";"inscrit";"1537";"2005"
"4524";"24.190.25.124";"1";"anonyme";"92";"2004"
"4527";"Kurieeto";"0";"inscrit";"8919";"2004"
"4531";"219.13.232.9";"1";"anonyme";"5";"2004"
"4532";"168.99.60.7";"1";"anonyme";"1";"2005"
"4551";"84.12.26.217";"1";"anonyme";"2";"2005"
"4559";"Esperant";"0";"inscrit";"10655";"2004"
"4562";"83.109.70.47";"1";"anonyme";"1";"2005"
"4566";"69.177.157.70";"1";"anonyme";"11";"2005"
"4570";"Chadbryant";"0";"inscrit";"3589";"2005"
"4572";"69.177.7.137";"1";"anonyme";"4";"2005"
"4573";"199.235.112.239";"1";"anonyme";"295";"2004"
"4581";"Secfan";"0";"inscrit";"18191";"2004"
"4583";"24.100.76.233";"1";"anonyme";"218";"2005"
"4584";"83.156.75.228";"1";"anonyme";"1";"2005"
"4586";"64.142.12.122";"1";"anonyme";"3";"2005"
"4587";"68.34.214.130";"1";"anonyme";"3";"2005"
"4590";"69.230.80.107";"1";"anonyme";"5";"2005"
"4591";"69.230.95.227";"1";"anonyme";"5";"2005"
"4593";"24.14.52.0";"1";"anonyme";"5";"2005"
"4595";"Gauss";"0";"inscrit";"1131";"2004"
"4597";"Volatile";"0";"inscrit";"3319";"2005"
"4598";"Krystyn_Dominik";"0";"inscrit";"1022";"2005"
